Time,DNI,DHI,Temp
0.0,109.334757833,-1.1878019016,5.20745868255
30.0,6.17420691457,5.37523716588,4.33572460984
60.0,6.01865965656,12.3774820845,3.36595093684
90.0,6.00062544864,12.4161761107,2.7915437781
120.0,3.82119813871,17.5392411635,2.48431872412
150.0,82.0886310233,5.73338072632,2.40813940005
180.0,67.0999564813,11.8228200909,1.98010624142
210.0,61.1888473126,15.2805211269,1.73425178056
240.0,89.1430332588,1.68522726255,1.93846088607
270.0,18.6382284673,7.71457890651,2.36181646522
300.0,367.490774341,-4.09558198113,2.40052846882
330.0,199.107234982,2.93757056,2.84728342768
360.0,98.9520077315,-15.8045418555,3.07313778994
390.0,526.358770052,-160.490528048,5.0306954304
420.0,95.474704908,-110.086232623,5.5980319635
450.0,24.6303069738,-93.834666143,6.6820832244
480.0,58.1071066737,-84.2727922109,7.50161429972
510.0,154.660103817,-260.19729155,7.96576046888
540.0,3.97095251745,-220.407896499,8.32992761817
570.0,2.50619221469,-60.2283747078,9.28673005411
600.0,-0.388307588854,-65.5832260183,10.4387157799
630.0,-4.34739505789,-41.9729759527,12.2052710114
660.0,0.0789021715612,-32.2859333666,12.837263631
690.0,3.83605321353,-74.7775654377,13.4260947792
720.0,-0.883962158702,-59.4436411046,13.611088465
750.0,-0.475171313356,-46.2131607992,14.7412398595
780.0,-1.22212506251,-48.4972996397,15.3218993312
810.0,-0.956050842641,-58.5509170198,14.6819356975
840.0,1.97221321594,-52.3780982874,14.663238687
870.0,-1.65623003778,-44.998212435,14.2656609062
900.0,-1.51190886726,-9.50273400969,13.2848144881
930.0,-14.9234929968,7.22011084118,12.6930584332
960.0,-23.9896605234,-9.39552369834,12.1147745139
990.0,-42.0787223354,-19.2295735222,10.8209685432
1020.0,-2.21033688036,-14.798461677,11.1308548199
1050.0,-1.15961094342,-6.38415677727,10.304273368
1080.0,-19.9624567859,-2.37990880406,9.53933104616
1110.0,-20.1313198851,-0.87033405887,9.36964799518
1140.0,-2.28920796104,36.779301929,8.20482267848
1170.0,-1.90699214749,55.3352147835,7.63032881076
1200.0,-10.4964659038,53.3585471167,6.37480738807
1230.0,-74.2437861478,56.6394631314,6.08377027122
1260.0,-1.97500061452,34.9165910713,5.62051949883
1290.0,-1.55322307849,39.2164383966,5.48345966832
1320.0,1.08436691796,21.1480342675,5.51625681509
1350.0,-0.354882564801,22.2104392741,5.27130666998
1380.0,3.74679007028,17.4476102978,5.92008980761
1410.0,29.7203183046,34.7040219327,6.0420466376
1440.0,178.223825747,-4.06915856191,5.28674565929
1470.0,105.912433682,0.995724132124,5.1058453733
1500.0,99.6733032786,6.59379215699,4.95973628333
1530.0,53.6118939516,39.9355675053,4.54946683987
1560.0,24.0486152911,19.151406612,3.94722930562
1590.0,168.228038881,11.1615391785,3.67820443271
1620.0,542.269834111,6.00008107148,3.12755654079
1650.0,923.227121371,3.484717031,2.68785788624
1680.0,274.390519808,-4.16740337565,2.51487695844
1710.0,817.345077499,0.845669424961,2.95704960371
1740.0,946.245336003,10.2087118493,4.07450517875
1770.0,548.98305134,-0.533164135496,4.94689451782
1800.0,729.555432671,-18.2905274355,6.30294943875
1830.0,835.443500163,-21.1481375264,7.81478040915
1860.0,575.545471396,-135.796665727,9.01077740647
1890.0,844.02126848,-81.1178421636,10.0073652501
1920.0,778.004689566,-57.973345692,10.1714477336
1950.0,922.814620409,-53.8928872158,11.6698516435
1980.0,308.694604737,-50.8056149422,11.3878818887
