Time,Temp,RH
0.0,11.8363405423,23.1299529622
30.0,11.4686381015,28.5998803715
60.0,11.6153278046,28.7593544147
90.0,11.2154373722,30.2029483921
120.0,10.2596311787,35.0683327981
150.0,11.3666568797,30.7888282165
180.0,11.3348610913,32.5364862081
210.0,10.4550274025,33.7536839461
240.0,10.1263507777,33.5495642403
270.0,9.68690407135,29.6368628652
300.0,10.5359389292,28.9004128579
330.0,12.5079864895,27.5566837955
360.0,13.0067398512,26.9752036252
390.0,13.7211394756,27.8091584393
420.0,13.8213861826,24.0453336766
450.0,14.8257560061,24.0575358457
480.0,15.4473841177,21.0303783229
510.0,15.9319232843,17.1412082057
540.0,17.4172760018,11.3875742884
570.0,18.8320130813,10.6129848553
600.0,20.609868061,8.78631391111
630.0,19.8487118481,11.9596114729
660.0,20.565555241,10.8311701946
690.0,20.8073395181,4.8291816361
720.0,19.8448317612,9.98342826659
750.0,19.1014938248,12.2287288958
780.0,18.8399983099,14.1615887869
810.0,18.7290719984,15.9699612768
840.0,18.5882212704,15.2148879183
870.0,18.4734043299,20.8972899592
900.0,17.7076439247,21.7975143715
930.0,17.7070166395,23.6241642051
960.0,15.8644636338,25.6933115989
990.0,13.8145446666,27.5551836036
1020.0,12.0838545047,33.8888166393
1050.0,10.2182489888,35.6377039222
1080.0,10.0628719951,36.6918500015
1110.0,9.30484050168,36.7465584122
1140.0,8.98109395414,34.6983794256
1170.0,8.4269856949,38.5174132813
1200.0,8.04436655289,39.0821255341
1230.0,8.29291166513,35.2528861341
1260.0,8.27425653549,34.3504941141
1290.0,7.85029937973,32.1897672944
1320.0,7.46730531812,31.1640100535
1350.0,7.94552706127,27.3400966157
1380.0,6.7792921466,32.2869544708
1410.0,7.19897017616,30.7860779411
1440.0,6.57355069568,30.3473323786
1470.0,6.18436898663,31.1724851981
1500.0,5.49013992223,33.2835033646
1530.0,5.31841106827,32.6031411427
1560.0,5.02247854861,33.2290210197
1590.0,4.801500893,33.2959468008
1620.0,4.64912560518,35.552211143
1650.0,4.90594360527,34.7364487604
1680.0,5.04343286051,34.8933316819
1710.0,5.5111991016,34.6457877606
1740.0,5.77326100273,30.6900272707
1770.0,6.62604594088,24.9068100408
1800.0,7.22613093171,23.2042322438
1830.0,9.05781177104,21.0157814852
1860.0,10.2859299818,17.3951645267
1890.0,10.8792047348,14.3239114653
1920.0,12.3918372199,10.3101258259
1950.0,13.2828007629,4.14242723082
1980.0,15.0231515815,1.77922341178
2010.0,15.8886233578,-1.2318403838
2040.0,17.2755404229,-4.67036696847
2070.0,19.6489756571,-6.53082272527
2100.0,21.1046253393,-8.11708433527
2130.0,22.7527649699,-7.97854835128
2160.0,22.8517775,-8.40832745065
2190.0,24.1054282871,-11.1743803971
2220.0,23.6455423253,-7.87864730113
2250.0,24.6135910647,-7.87001774745
2280.0,24.1934316753,-6.8086921568
2310.0,23.8487274922,-3.68429130273
2340.0,23.1073001236,-1.31082689402
2370.0,21.9435899643,3.61895179066
2400.0,21.0626728826,9.63252197172
2430.0,20.0177934262,9.70318040465
2460.0,19.1167079954,10.787589339
2490.0,18.6601846812,13.9178917811
2520.0,17.6644024679,16.6666832817
2550.0,17.5417555966,18.6965456334
2580.0,16.8783851165,22.771644359
2610.0,16.4503187698,24.795293403
2640.0,15.8906356439,30.0577259996
2670.0,15.5012749612,27.7604105467
2700.0,15.3134508162,28.9069680403
2730.0,15.0469181491,26.6549408811
2760.0,14.8010527193,27.5079205422
2790.0,14.5591940177,27.1231661315
2820.0,14.3125036254,22.7577920111
2850.0,14.0412405154,21.6879940801
2880.0,13.7441445004,23.8881129315
2910.0,13.4289101103,24.1718380419
2940.0,13.0990879322,26.8820290537
2970.0,12.7743966866,24.4654257057
3000.0,12.472320647,25.5781212557
3030.0,12.2172437631,27.5850164228
3060.0,12.0358342157,26.0140838026
3090.0,11.9566216265,27.1606602863
3120.0,12.0032941095,28.1219611881
3150.0,12.1953340813,26.9751026855
3180.0,12.5501085247,25.6667517035
3210.0,13.0760720759,27.3597954767
3240.0,13.7687393035,27.8117231917
3270.0,14.6284525035,24.7060145169
3300.0,15.6298848345,26.580658428
3330.0,16.7490668456,26.0993845898
3360.0,17.949557718,23.9861002281
3390.0,19.193060588,22.9770441548
3420.0,20.4396063144,19.4691391731
3450.0,21.6401433918,16.3869659399
3480.0,22.7478559948,15.1796493463
3510.0,23.7072432779,14.5599912866
3540.0,24.4074313679,14.5185290438
3570.0,24.9434623554,15.73573955
3600.0,25.3922807168,19.8700678003
3630.0,25.4074902257,16.527288589
3660.0,25.4748720396,18.5980750084
3690.0,25.4074968354,16.0223827229
3720.0,24.8980017209,16.8025365277
3750.0,24.1947546388,17.6043710974
3780.0,22.8690530271,19.2589485623
3810.0,21.9444119144,18.3530232855
3840.0,20.3527899462,21.0886607069
3870.0,20.22722566,26.0028721137
3900.0,18.8563348345,28.6605593223
3930.0,18.7571045275,28.3960541033
3960.0,17.7507259494,28.4892462964
3990.0,17.5128229878,29.2900931516
4020.0,16.9576952702,30.4357172597
4050.0,16.4143626319,30.1760633228
4080.0,15.9987684995,30.6978803371
4110.0,15.56844536,32.2767774942
4140.0,15.1878107322,33.5619466534
4170.0,14.9532801304,33.6321592854
4200.0,14.7970785539,28.715245689
4230.0,14.5503036435,29.7994641699
4260.0,14.3338448661,31.3123610485
4290.0,14.0825840239,29.7665924183
4320.0,13.7643250616,30.7933979711
4350.0,13.4634146876,30.6858288944
4380.0,13.1301714867,32.6410574916
4410.0,12.8014443383,33.6703731389
4440.0,12.5005472079,31.3602979961
4470.0,12.227321832,29.9597174917
4500.0,12.0468575149,32.8279680509
4530.0,11.9575502453,31.6768097345
4560.0,11.9131073321,33.5682669376
4590.0,11.988948404,27.6105754374
4620.0,12.0055786037,29.7674361417
4650.0,12.4251430464,30.934047025
4680.0,12.4486854229,25.8341368389
4710.0,13.8587753959,25.9779204782
4740.0,15.414756676,23.3836820303
4770.0,16.5045419576,16.8680180568
4800.0,17.528158148,15.6890375693
4830.0,18.7632326477,10.5369164921
4860.0,19.6373890156,7.39080100342
4890.0,21.1257866187,4.2233393671
4920.0,21.7000303281,5.47944483584
4950.0,22.6207917899,4.22076085915
4980.0,22.0446623014,5.89311190657
5010.0,23.4719406987,3.13342149964
5040.0,23.0604187584,3.20122416276
5070.0,23.7180079156,0.962965333239
5100.0,23.6380715626,3.56573210753
5130.0,22.966262021,4.70019986824
5160.0,22.586839097,9.25444495519
5190.0,21.1670849583,12.0484819594
5220.0,19.4116580061,13.5742007432
5250.0,19.4543463642,17.1154071703
5280.0,18.7894739877,18.2526866983
5310.0,19.1591936966,20.032002213
5340.0,17.820935251,17.9172096465
5370.0,15.752694981,23.7172249223
5400.0,13.8558031136,28.3480640122
5430.0,13.6635035762,30.5447814641
5460.0,13.6327304969,31.8645115957
5490.0,12.6649312303,31.0203191082
5520.0,10.5681780347,33.6379650246
5550.0,10.4502249636,32.6640719698
5580.0,10.953039231,32.3579481568
5610.0,11.419097035,30.1706243115
5640.0,10.0516941376,30.1135955103
5670.0,9.61677964913,30.9193456821
5700.0,8.5576594472,33.404855636
5730.0,8.1042250132,35.1211503371
5760.0,9.00342688917,37.0700162403
5790.0,10.2768438571,34.3218292551
5820.0,8.08780937194,39.1627706724
5850.0,7.0704230101,40.466392062
