Time,Temp,RH
0.0,2.75695876528,19.6156400982
30.0,4.05310274307,22.6909601332
60.0,5.09546614062,24.4435543135
90.0,3.9038036989,24.5972681364
120.0,2.07671138577,30.687750972
150.0,2.23796288124,32.0935003201
180.0,1.82511339,32.7443092047
210.0,2.12472474371,31.9748213837
240.0,2.26442756111,33.8931215558
270.0,4.05294124578,31.6539080877
300.0,4.71591864221,31.0462132778
330.0,3.5807393066,28.2630205149
360.0,3.30575637231,27.553038791
390.0,3.67753905029,22.8976240273
420.0,5.8363062433,25.129864759
450.0,6.357094586,29.7718651204
480.0,8.32449731537,24.709004274
510.0,8.92507545872,24.0573456535
540.0,9.75821383251,17.8259819751
570.0,10.742815919,20.9848916253
600.0,13.6955354758,17.5278425779
630.0,12.6012201941,14.1473218197
660.0,12.5213466473,17.0316054555
690.0,12.9627847921,18.4702613326
720.0,12.4564561745,20.6857556406
750.0,12.7849893581,15.0775356228
780.0,12.8754522109,14.7316762326
810.0,13.3002259004,17.0508842164
840.0,11.7033820608,16.6872286147
870.0,11.3459806646,12.3806816132
900.0,11.2222773541,17.8398775811
930.0,11.020328725,14.1705745208
960.0,9.07334487488,18.8958428733
990.0,9.24032914969,21.0770329819
1020.0,7.96578911194,23.1930551716
1050.0,8.09290305476,24.8224151658
1080.0,7.88668891678,26.6182124297
1110.0,6.46337444412,30.2625400679
1140.0,5.5946028188,31.5263882654
1170.0,5.54214174977,32.2199266419
1200.0,4.06381700774,34.7603624667
1230.0,3.94640441161,33.5727291166
1260.0,3.59116664365,33.4815834807
1290.0,3.37245478859,32.079054736
1320.0,4.41760784846,34.6271730671
1350.0,3.78120133613,27.6203478189
1380.0,3.91895888793,31.1425275655
1410.0,3.25910009831,33.1114885709
1440.0,2.59180391415,37.3962877869
1470.0,2.62986333306,34.1698883325
1500.0,2.17207769365,36.937399395
1530.0,1.06072898435,43.8778551094
1560.0,1.50749850116,41.8286882583
1590.0,2.04249542685,42.6020687919
1620.0,1.10810995678,51.911235757
1650.0,0.661269380719,47.6688128216
