Time,DNI
0.0,0.0
30.0,0.0
60.0,0.0
90.0,0.0
120.0,0.0
150.0,0.0
180.0,0.0
210.0,0.0
240.0,0.0
270.0,0.0
300.0,0.0
330.0,0.0
360.0,0.0
390.0,0.0
420.0,474.316221771
450.0,0.0
480.0,0.0
510.0,0.0
540.0,0.0
570.0,0.0
600.0,0.0
630.0,0.0
660.0,0.0
690.0,0.0
720.0,0.0
750.0,0.0
780.0,0.0
810.0,0.0
840.0,0.0
870.0,0.0
900.0,0.0
930.0,0.0
960.0,0.0
990.0,441.752193227
1020.0,0.0
1050.0,0.0
1080.0,0.0
1110.0,0.0
1140.0,0.0
1170.0,0.0
1200.0,0.0
1230.0,0.0
1260.0,0.0
1290.0,0.0
1320.0,0.0
1350.0,0.0
1380.0,0.0
1410.0,0.0
1440.0,0.0
1470.0,0.0
1500.0,0.0
1530.0,0.0
1560.0,0.0
1590.0,0.0
1620.0,0.0
1650.0,0.0
1680.0,0.0
1710.0,0.0
1740.0,0.0
1770.0,0.0
1800.0,0.0
1830.0,0.0
1860.0,575.087700677
1890.0,0.0
1920.0,0.0
1950.0,0.0
1980.0,0.0
2010.0,0.0
2040.0,386.255765991
2070.0,545.485551162
2100.0,0.0
2130.0,0.0
2160.0,0.0
2190.0,0.0
2220.0,2684.47443025
2250.0,987.663061089
2280.0,5326.90295201
2310.0,1148.69010954
2340.0,819.756536325
2370.0,350.297009607
2400.0,288.49325949
2430.0,332.915738911
2460.0,0.0
2490.0,0.0
2520.0,0.0
2550.0,0.0
2580.0,0.0
2610.0,0.0
2640.0,0.0
2670.0,0.0
2700.0,0.0
2730.0,0.0
2760.0,0.0
2790.0,0.0
2820.0,0.0
2850.0,0.0
2880.0,0.0
2910.0,0.0
2940.0,0.0
2970.0,0.0
3000.0,0.0
3030.0,0.0
3060.0,0.0
3090.0,0.0
3120.0,0.0
3150.0,0.0
3180.0,0.0
3210.0,0.0
3240.0,0.0
3270.0,0.0
3300.0,342.199218826
3330.0,0.0
3360.0,0.0
3390.0,0.0
3420.0,0.0
3450.0,639.811320965
3480.0,60.9422110324
3510.0,27.6121147899
3540.0,0.0
3570.0,0.0
3600.0,0.0
3630.0,0.0
3660.0,29.7900908492
3690.0,28.3863141887
3720.0,38.0475719045
3750.0,289.303516302
3780.0,0.0
3810.0,0.0
3840.0,0.0
3870.0,52.1425871791
3900.0,0.0
3930.0,0.0
3960.0,0.0
3990.0,0.0
4020.0,0.0
4050.0,0.0
4080.0,0.0
4110.0,0.0
4140.0,0.0
4170.0,0.0
4200.0,0.0
4230.0,0.0
4260.0,0.0
4290.0,0.0
4320.0,0.0
4350.0,0.0
4380.0,0.0
4410.0,0.0
4440.0,0.0
4470.0,0.0
4500.0,0.0
4530.0,0.0
4560.0,0.0
4590.0,0.0
4620.0,0.0
4650.0,0.0
4680.0,0.0
4710.0,0.0
4740.0,171.791295024
4770.0,0.0
4800.0,0.0
4830.0,0.0
4860.0,80.688576052
4890.0,62.1684068345
4920.0,309.653176956
4950.0,58.5469494374
4980.0,56.3559122412
5010.0,53.8282505255
5040.0,36.1150382031
5070.0,44.517496524
5100.0,52.1542555828
5130.0,230.780757419
5160.0,525.524222725
5190.0,60.7533894506
5220.0,65.6987469357
5250.0,1006.05902226
5280.0,0.0
5310.0,1304.87170178
5340.0,0.0
5370.0,0.0
5400.0,0.0
5430.0,0.0
5460.0,0.0
5490.0,0.0
5520.0,0.0
5550.0,0.0
5580.0,0.0
5610.0,0.0
5640.0,0.0
5670.0,0.0
5700.0,0.0
5730.0,0.0
5760.0,0.0
5790.0,0.0
5820.0,0.0
5850.0,0.0
5880.0,0.0
5910.0,0.0
5940.0,0.0
5970.0,0.0
6000.0,0.0
6030.0,0.0
6060.0,0.0
6090.0,0.0
6120.0,0.0
6150.0,0.0
6180.0,412.817478684
6210.0,712.545927589
6240.0,610.963415467
6270.0,4557.4527959
6300.0,3130.53825718
6330.0,886.107070317
6360.0,1118.95956808
6390.0,388.255873634
6420.0,191.475602551
6450.0,0.0
6480.0,0.0
6510.0,0.0
6540.0,189.426725986
6570.0,59.4977816139
6600.0,302.301975538
6630.0,181.185507464
6660.0,0.0
6690.0,0.0
6720.0,0.0
6750.0,0.0
6780.0,0.0
6810.0,0.0
6840.0,0.0
6870.0,0.0
6900.0,0.0
6930.0,0.0
6960.0,0.0
6990.0,0.0
7020.0,0.0
7050.0,0.0
7080.0,0.0
7110.0,0.0
7140.0,0.0
7170.0,0.0
7200.0,0.0
7230.0,0.0
7260.0,0.0
7290.0,0.0
7320.0,0.0
7350.0,0.0
7380.0,0.0
7410.0,0.0
7440.0,0.0
7470.0,0.0
7500.0,0.0
7530.0,0.0
7560.0,0.0
7590.0,0.0
7620.0,320.77781379
7650.0,0.0
7680.0,0.0
7710.0,0.0
7740.0,0.0
7770.0,0.0
7800.0,440.145502137
7830.0,612.697215691
7860.0,0.0
7890.0,0.0
7920.0,0.0
7950.0,0.0
7980.0,374.967408663
8010.0,65.8480514016
8040.0,43.7529950695
8070.0,48.501694071
8100.0,39.770420016
8130.0,0.0
8160.0,0.0
8190.0,0.0
8220.0,0.0
8250.0,0.0
8280.0,0.0
8310.0,0.0
8340.0,0.0
8370.0,0.0
8400.0,0.0
8430.0,0.0
8460.0,0.0
8490.0,0.0
8520.0,0.0
8550.0,0.0
8580.0,0.0
8610.0,0.0
8640.0,0.0
8670.0,0.0
8700.0,0.0
8730.0,0.0
8760.0,0.0
8790.0,0.0
8820.0,0.0
8850.0,0.0
8880.0,0.0
8910.0,0.0
8940.0,0.0
8970.0,0.0
9000.0,0.0
9030.0,0.0
9060.0,32.8487431392
9090.0,0.0
9120.0,0.0
9150.0,0.0
9180.0,24.802225819
9210.0,20.387583741
9240.0,18.7009168248
9270.0,35.4042041372
9300.0,20.1827907394
9330.0,27.0170111953
9360.0,16.6964250839
9390.0,24.8011417393
9420.0,34.3026641865
9450.0,66.3249923497
9480.0,0.0
9510.0,0.0
9540.0,0.0
9570.0,0.0
9600.0,0.0
9630.0,0.0
9660.0,0.0
9690.0,0.0
