Time,DNI,GHI
0.0,19.1007132292,0.0
30.0,2.5590024972,0.0
60.0,2.38210600222,0.0
90.0,1.99597977717,0.0
120.0,-2.26121007614,0.0
150.0,-2.11306378859,0.0
180.0,1.04111303318,0.0
210.0,-1.82475495802,0.0
240.0,-0.235684052472,0.0
270.0,-0.976037518278,0.0
300.0,0.5338271409,0.0
330.0,-0.690069263602,0.0
360.0,3.10009229671,0.0
390.0,1.92825349962,0.0
420.0,608.339117357,113.670098138
450.0,0.852629988769,0.0
480.0,1.68974660526,0.0
510.0,-1.13951351566,0.0
540.0,-0.562238774871,0.0
570.0,5.12188516156,0.0
600.0,31.8388425214,0.0
630.0,14.7983741745,0.0
660.0,241.411140139,0.0
690.0,461.929326808,0.0
720.0,374.988044397,0.0
750.0,131.724205502,0.0
780.0,244.885716709,0.0
810.0,485.026233022,0.0
840.0,82.8726182656,0.0
870.0,53.5675463959,0.0
900.0,2.21299033409,0.0
930.0,2.66491989013,0.0
960.0,6.57815783031,0.0
990.0,668.81928293,125.442697538
1020.0,12.2598426738,0.0
1050.0,20.0538222012,0.0
1080.0,5.33961627353,0.0
1110.0,3.83566070943,0.0
1140.0,5.72380756087,0.0
1170.0,62.812032383,0.0
1200.0,77.4952781329,0.0
1230.0,6.08874192387,0.0
1260.0,28.5507398427,0.0
1290.0,-0.132885189555,0.0
1320.0,0.993079570938,0.0
1350.0,1.70110010018,0.0
1380.0,0.0417146433056,0.0
1410.0,-0.724674846699,0.0
1440.0,2.02205145671,0.0
1470.0,1.7298481003,0.0
1500.0,68.9189848558,0.0
1530.0,4.42677318556,0.0
1560.0,1.83187917183,0.0
1590.0,-0.475890111676,0.0
1620.0,-0.966719367965,0.0
1650.0,3.05164569868,0.0
1680.0,2.5538053719,0.0
1710.0,4.31203633962,0.0
1740.0,0.469285503504,0.0
1770.0,2.09670759381,0.0
1800.0,0.851726068037,0.0
1830.0,2.18015374705,0.0
1860.0,871.6745556,186.393804859
1890.0,-0.710706621085,0.0
1920.0,-1.25923627101,0.0
1950.0,-0.931614561321,0.0
1980.0,39.3966870746,0.0
2010.0,40.3773802518,0.0
2040.0,1.28746306533,0.0
2070.0,2.27167597882,0.0
2100.0,4.01614241987,0.0
2130.0,-0.547140002246,0.0
2160.0,1.6121915191,0.0
2190.0,0.517211194949,0.0
2220.0,0.303568953006,0.0
2250.0,3.28041322722,0.0
2280.0,253.926642881,178.729029516
2310.0,401.50217562,172.272645929
2340.0,568.356177375,159.377457142
2370.0,343.130595267,102.647457644
2400.0,2.2720718199,0.0
2430.0,398.545383596,106.143882924
2460.0,2.47110987544,0.0
2490.0,2.34402103902,0.0
2520.0,6.14116634343,0.0
2550.0,2.70206021396,0.0
2580.0,1.52345044029,0.0
2610.0,2.84392921962,0.0
2640.0,50.6043937919,0.0
2670.0,51.8351823406,0.0
2700.0,33.6940839287,0.0
2730.0,6.38095371746,0.0
2760.0,87.8691118357,0.0
2790.0,334.492042919,0.0
2820.0,77.0922853506,0.0
2850.0,56.0897539753,0.0
2880.0,246.566268107,0.0
2910.0,71.1898589508,0.0
2940.0,6.47270179791,0.0
2970.0,3.49171229096,0.0
3000.0,2.05772463452,0.0
3030.0,-0.161263983229,0.0
3060.0,-2.34550111474,0.0
3090.0,2.10493089742,0.0
3120.0,58.9218459777,0.0
3150.0,590.070978682,0.0
3180.0,767.506850837,0.0
3210.0,615.361772481,0.0
3240.0,63.120877183,0.0
3270.0,6.10625057919,0.0
3300.0,725.317721783,109.825612625
3330.0,47.9840133233,0.0
3360.0,102.318138781,0.0
