Time,DNI,Temp
0.0,0.0,-4.13214847157
30.0,0.0,-4.28734594342
60.0,0.0,-8.12424826266
90.0,0.0,-5.64075800517
120.0,0.0,-6.60046445069
150.0,0.0,-6.38817925436
180.0,0.0,-3.86702865344
210.0,0.0,-1.4775675613
240.0,0.0,1.95790494636
270.0,0.0,0.968799795639
300.0,0.0,1.55056385235
330.0,0.0,1.66426109667
360.0,0.0,2.1787244405
390.0,0.0,1.59719945372
420.0,479.378494207,13.9812182367
450.0,0.0,6.6976677622
480.0,0.0,3.5997792204
510.0,0.0,8.86798375676
540.0,0.0,6.58617323819
570.0,0.0,9.4497875172
600.0,0.0,12.2703839784
630.0,0.0,15.8706361095
660.0,0.0,19.3937872426
690.0,0.0,23.5766424868
720.0,0.0,25.0135205046
750.0,0.0,26.8265749865
780.0,0.0,30.4085867708
810.0,0.0,33.1437533916
840.0,0.0,39.8046075707
870.0,0.0,44.0828956814
900.0,0.0,45.1395114712
930.0,0.0,43.4202743679
960.0,0.0,43.3468395993
990.0,562.658191593,26.1098415033
1020.0,0.0,40.6919252183
1050.0,0.0,35.7882402927
1080.0,0.0,30.518593655
1110.0,0.0,24.623489515
1140.0,0.0,19.4477605461
1170.0,0.0,9.70077175008
1200.0,0.0,3.34049705989
1230.0,0.0,-1.26692306684
1260.0,0.0,-4.18410828045
1290.0,0.0,-7.60033009607
1320.0,0.0,-9.33364015017
1350.0,0.0,-14.1401566376
1380.0,0.0,-14.3052167481
1410.0,0.0,-16.2889263538
1440.0,0.0,-19.0430434818
1470.0,0.0,-20.383597817
1500.0,0.0,-24.0447896881
1530.0,0.0,-29.5990450414
1560.0,0.0,-29.8544760602
1590.0,0.0,-27.1247838645
1620.0,0.0,-23.7478066038
1650.0,0.0,-21.2662551772
1680.0,0.0,-14.4733023358
1710.0,0.0,-6.30250729885
1740.0,0.0,-0.810505863654
1770.0,0.0,4.66513743822
1800.0,0.0,7.36090994783
1830.0,0.0,9.16709374957
1860.0,461.899891897,13.8214318085
1890.0,0.0,14.8240962719
1920.0,0.0,17.2565716058
1950.0,0.0,18.727705895
1980.0,0.0,19.4554540306
2010.0,0.0,20.2758830146
2040.0,482.69999657,28.8235089774
2070.0,484.732875503,28.2110934803
2100.0,0.0,23.3657224231
2130.0,0.0,24.1916576166
2160.0,0.0,25.9356126058
2190.0,0.0,26.8735295821
2220.0,568.281356939,31.7422086406
2250.0,592.491513333,32.0781037511
2280.0,610.91652896,30.8497214551
2310.0,315.499824624,29.0030599054
2340.0,614.780902397,32.4727735751
2370.0,499.345007205,31.5539409989
2400.0,485.680287511,31.345698083
2430.0,222.348276146,29.9312067651
2460.0,0.0,18.7985213772
2490.0,0.0,16.3485133909
2520.0,0.0,14.1592119427
2550.0,0.0,11.2109535548
2580.0,0.0,5.91286280999
2610.0,0.0,-0.606451083519
2640.0,0.0,-6.35999221036
2670.0,0.0,-8.90575779961
2700.0,0.0,-13.7524216112
2730.0,0.0,-16.9680425655
2760.0,0.0,-20.5759491471
2790.0,0.0,-20.1814213167
2820.0,0.0,-19.9064090632
2850.0,0.0,-20.0629789892
2880.0,0.0,-19.6632308729
2910.0,0.0,-17.3760547887
2940.0,0.0,-15.583522625
2970.0,0.0,-13.870909958
3000.0,0.0,-15.2270432692
3030.0,0.0,-13.8164265105
3060.0,0.0,-13.354934322
3090.0,0.0,-12.6640945378
3120.0,0.0,-10.3915340015
3150.0,0.0,-9.13822738969
3180.0,0.0,-10.6428061695
3210.0,0.0,-10.4537328733
3240.0,0.0,-11.2478091959
3270.0,0.0,-12.2880552536
3300.0,37.1057211594,18.2580443375
3330.0,0.0,-10.5913902591
3360.0,0.0,-4.6508436263
3390.0,0.0,-3.29628710425
3420.0,0.0,0.452096405951
3450.0,-8.6472321499,27.9412455489
3480.0,17.0494984525,30.333028706
3510.0,277.709368549,31.9988570766
3540.0,0.0,10.3480876991
3570.0,0.0,12.4187251808
3600.0,0.0,12.5001607159
3630.0,0.0,12.5728169178
3660.0,565.663943767,37.405669687
3690.0,526.776055115,35.3917355684
3720.0,263.233109025,34.8061265977
3750.0,338.506450408,34.9332094988
3780.0,0.0,10.0797313749
3810.0,0.0,11.3847898437
3840.0,0.0,10.4327683566
3870.0,390.464584637,28.3332992623
3900.0,0.0,9.72654107869
3930.0,0.0,8.87031766585
3960.0,0.0,10.4775690097
3990.0,0.0,10.414915549
4020.0,0.0,10.5682962041
4050.0,0.0,14.741906671
4080.0,0.0,16.8167097
4110.0,0.0,19.5112682765
4140.0,0.0,18.4688470761
4170.0,0.0,15.1790897794
4200.0,0.0,12.3006081421
4230.0,0.0,8.27714204608
4260.0,0.0,4.00252460274
4290.0,0.0,-0.241560123549
4320.0,0.0,-2.71544447133
4350.0,0.0,-6.96029990599
4380.0,0.0,-14.9574117087
4410.0,0.0,-17.6590193518
4440.0,0.0,-19.1672883
4470.0,0.0,-17.0211740358
4500.0,0.0,-15.2243169874
4530.0,0.0,-11.1383101485
4560.0,0.0,-8.47331651495
4590.0,0.0,-3.20538396677
4620.0,0.0,1.8570263091
4650.0,0.0,3.78938437615
4680.0,0.0,6.76362493531
4710.0,0.0,9.72171995941
4740.0,458.954632003,17.4348644526
4770.0,0.0,13.9278427374
4800.0,0.0,18.1933756957
4830.0,0.0,19.6811149606
4860.0,474.393741412,26.4199124741
4890.0,182.543116285,27.8571685459
4920.0,68.9374023098,30.1808134403
4950.0,115.868216773,29.6995773512
4980.0,344.044949532,35.2069031173
5010.0,259.95169801,37.8476045858
5040.0,518.927236483,42.6275507943
5070.0,552.682634352,37.9773655639
5100.0,561.249988009,37.2763325908
5130.0,350.563901393,39.1518764244
5160.0,601.832869541,39.1922437549
5190.0,395.505200096,30.7675996969
5220.0,399.135727057,30.0321023224
5250.0,600.464223089,28.6149501584
5280.0,0.0,22.8030948913
5310.0,175.999748486,25.612314376
5340.0,0.0,18.0696239163
5370.0,0.0,16.7050100639
5400.0,0.0,11.9800724033
5430.0,0.0,8.48382262587
5460.0,0.0,5.93185804666
5490.0,0.0,3.63689169404
5520.0,0.0,1.97756542286
5550.0,0.0,0.283883618733
5580.0,0.0,-2.17747725263
5610.0,0.0,-2.46328816918
5640.0,0.0,-1.63122138833
5670.0,0.0,-4.23834443486
5700.0,0.0,-6.63438527317
5730.0,0.0,-6.62340925359
5760.0,0.0,-9.04310022464
5790.0,0.0,-6.10826635387
5820.0,0.0,-8.05046022542
5850.0,0.0,-6.98486272018
5880.0,0.0,-6.80697283846
5910.0,0.0,-11.2532665649
5940.0,0.0,-11.1915673951
5970.0,0.0,-8.39839374644
6000.0,0.0,-5.06533488227
6030.0,0.0,-2.62516142316
6060.0,0.0,0.995392189654
6090.0,0.0,2.45493152737
6120.0,0.0,4.27305321216
6150.0,0.0,4.57774980988
6180.0,465.461394672,13.4184581605
6210.0,168.868044881,17.7741858747
6240.0,104.165757038,18.6760501506
6270.0,11.5673425612,19.4700410933
6300.0,63.2136949337,20.6760603628
6330.0,484.928573095,22.1514744224
6360.0,488.444281093,24.8115941994
6390.0,1422.11108052,25.3200215357
6420.0,506.785678964,26.6666251173
6450.0,0.0,22.3744519932
6480.0,0.0,23.7594043459
6510.0,0.0,25.5000686305
6540.0,565.924114438,28.1374515922
6570.0,582.256600854,28.7691304652
6600.0,1279.45792176,28.3448941208
6630.0,617.858335958,27.5924954692
6660.0,0.0,24.9692204132
6690.0,0.0,24.9213397254
6720.0,0.0,21.628015871
6750.0,0.0,19.0280915138
6780.0,0.0,14.2440192119
6810.0,0.0,14.5850068962
6840.0,0.0,11.7506180028
6870.0,0.0,14.0769467629
6900.0,0.0,11.5612493068
6930.0,0.0,8.08383821206
6960.0,0.0,6.39486244234
6990.0,0.0,7.47591919685
7020.0,0.0,6.42220405526
7050.0,0.0,5.52505826094
7080.0,0.0,3.99801804703
7110.0,0.0,0.157056307756
7140.0,0.0,-4.12535795009
7170.0,0.0,-5.39559985555
7200.0,0.0,-8.04302901855
7230.0,0.0,-8.58169652627
7260.0,0.0,-6.44704685296
7290.0,0.0,-5.41701254836
7320.0,0.0,-3.69072924731
7350.0,0.0,-2.90045591131
7380.0,0.0,2.18942394596
7410.0,0.0,1.7016177182
7440.0,0.0,2.37099113095
7470.0,0.0,3.22786863385
7500.0,0.0,9.53420814691
7530.0,0.0,9.64744432856
7560.0,0.0,15.527689697
7590.0,0.0,16.688335574
7620.0,676.447356617,11.306512837
7650.0,0.0,19.1865132289
7680.0,0.0,22.0773164741
7710.0,0.0,22.5048020821
7740.0,0.0,23.9128271874
7770.0,0.0,24.9458189281
7800.0,1258.08768685,20.4202157416
7830.0,485.265006151,20.71595661
7860.0,0.0,28.0002169628
7890.0,0.0,27.5661426856
7920.0,0.0,28.026983906
7950.0,0.0,28.1283579436
7980.0,573.55644392,24.6038301305
8010.0,1231.0784713,26.0523058517
8040.0,2048.0077771,27.8391488969
8070.0,2013.50588204,26.507866099
8100.0,1589.57329079,25.7394591983
8130.0,0.0,25.7648670193
8160.0,0.0,23.5997855566
8190.0,0.0,24.9201562372
8220.0,0.0,25.3695790276
8250.0,0.0,27.8209238673
8280.0,0.0,28.9814083275
8310.0,0.0,29.0023424872
8340.0,0.0,24.0886359158
8370.0,0.0,17.5522831459
8400.0,0.0,6.73970484218
8430.0,0.0,-1.39812279752
8460.0,0.0,-7.73038736355
8490.0,0.0,-11.5969521025
8520.0,0.0,-15.7668628176
8550.0,0.0,-19.5971005923
8580.0,0.0,-20.9187303277
8610.0,0.0,-23.7227070532
8640.0,0.0,-26.1711133099
8670.0,0.0,-27.0221450527
8700.0,0.0,-27.0918454451
8730.0,0.0,-24.9361142678
8760.0,0.0,-23.5361047705
8790.0,0.0,-21.0977271943
8820.0,0.0,-17.156536032
8850.0,0.0,-15.4803487732
8880.0,0.0,-11.5928088056
8910.0,0.0,-7.60357993444
8940.0,0.0,-3.60803077056
8970.0,0.0,0.141311204656
9000.0,0.0,3.77313889316
