Normalised hour angle,Clearsky DNI
-0.9820548589487718,623.014881855
-0.7835386079796051,607.098087705
-0.5850223570104389,214.420380062
-0.3865061060412724,871.753657155
-0.18798985507210592,1168.4714397
0.010526395897060585,766.126334907
0.20904264686622706,851.480207463
0.4075588978353936,696.390903848
0.60607514880456,193.587353519
0.8045913997737265,61.2648874452
-0.982673583143054,454.009983737
-0.7843308753313981,583.862642281
-0.5859881675197429,462.100163752
-0.38764545970808745,548.103506193
-0.18930275189643195,1006.20930526
0.009039955915223559,1210.12435414
0.20738266372687905,951.004064423
0.40572537153853455,891.878136777
0.6040680793501899,857.237564311
0.8024107871618456,671.178912415
-0.9832032614068592,578.885025906
-0.7850486863415095,546.088447519
-0.5868941112761604,583.164584909
-0.38873953621081103,763.121340534
-0.19058496114546164,1114.51423761
0.007569613919887772,995.431362767
0.2057241889852372,518.138137333
0.4038787640505866,370.464870756
0.602033339115936,197.535038585
0.8001879141812854,390.994383114
0.9983424892466348,441.668046842
-0.9836434868921036,649.627192626
-0.7856913856016221,670.719416369
-0.5877392843111413,794.561120215
-0.3897871830206602,819.249353498
-0.19183508173017896,783.901107127
0.006117019560302255,1099.47578429
0.20406912085078344,1122.11718105
0.4020212221412646,974.758070409
0.5999733234317459,658.874234732
0.797925424722227,684.780770357
0.9958775260127084,651.563139081
-0.9839939569415652,314.087152375
-0.7862584085442247,390.668088615
-0.5885228601468848,794.490379022
-0.3907873117495447,747.759136229
-0.19305176335220448,812.229819476
0.0046837850451357,731.434512422
0.2024193334424759,940.971837674
0.40015488183981607,907.749970496
0.5978904302371562,844.115434154
0.7956259786344964,689.378885976
0.9933615270318366,572.726777642
-0.9842544752074692,546.236946809
-0.7867492836613893,629.21854894
-0.5892440921153103,747.684837892
-0.3917389005692309,775.100797836
-0.19423370902315149,1011.83504546
0.003271482522927948,1093.30449149
0.20077667406900734,839.613697745
0.3982818656150868,737.97093282
0.5957870571611662,548.457835188
0.7932922487072457,57.5708837868
0.9907974402533252,529.072644636
-0.9844249565175252,389.334645996
-0.7871636368981415,67.7605381466
-0.5899023172787585,719.715337885
-0.3926409976593752,916.966661827
-0.19537967803999184,1103.3817847
0.0018816415793915628,1218.37908445
0.19914296119877492,1173.27494272
0.3964042808181583,795.096589207
0.5936656004375418,756.202939629
0.7909269200569251,653.475471022
0.9881882396763084,467.666582949
-0.9845054315706976,416.665930781
-0.7875011958909939,280.742063515
-0.590496960211291,207.297722754
-0.3934927245315879,389.190941618
-0.19648848885188466,862.275441519
0.000515746827818563,1183.80728032
0.19751998250752176,929.336998996
0.39452421818722494,767.095610184
0.5915284538669281,833.31196797
0.7885326895466314,671.050821214
0.9855369252263344,440.920519278
-0.9844960487300792,9.72996091625
-0.7877617918636342,61.5342813784
-0.5910275349971897,616.207651035
-0.39429327813074505,958.344343529
-0.1975590212643004,1210.76175772
-0.0008247643978556597,1270.04761173
0.19590949246858905,910.162716503
0.39264374933503376,728.422518798
0.5893780062014785,773.662000399
0.7861122630679231,629.702564396
0.9828465199343678,465.674344589
-0.984397071699933,570.198082955
-0.7879453582023842,697.292472381
-0.5914936447048362,726.475208243
-0.3950419312072879,923.94769779
-0.1985902177097395,887.341406221
-0.0021385042121911187,1032.30304085
0.19431320928535725,839.647499104
0.3907649227829056,786.982326985
0.587216636280454,478.193744672
0.7836683497780024,573.512308793
0.9801200632755508,674.19268183
-0.9842088744431268,704.307612767
-0.7880519267891312,733.391780999
-0.5918949791351366,758.383662583
-0.3957380314811415,828.425994034
-0.1995810838271464,963.877581328
-0.003424136173151315,953.371988998
0.19273281148084376,785.876011815
0.3888897591348388,847.641206366
0.5850467067888339,834.437126633
0.7812036544428289,634.011248352
0.9773606020968241,556.125855912
-0.9839319351659612,645.436474089
-0.7880816235499927,642.066521836
-0.592231311934025,780.824814579
-0.39638100031805695,855.321514191
-0.20053068870208884,819.194432064
-0.004680377086120754,875.230797716
0.19116993452984726,945.651824275
0.3870202461458154,909.762102867
0.5828705577617835,706.86650177
0.7787208693777516,614.890054635
0.9745711809937198,493.006953226
-0.9835668302500044,438.879269091
-0.7880346639231575,571.860899427
-0.5925024975963112,639.597851983
-0.3969703312694647,797.692321445
-0.20143816494261807,1122.59401728
-0.005905998615771503,975.64338683
0.1896261677110751,974.487574585
0.3851583340379217,1045.77821443
0.5806905003647682,846.948242041
0.7762226666916149,339.039713191
0.9717548330184614,313.953688415
-0.983114228159759,583.313246876
-0.7879113482694856,735.443034878
-0.592708468379213,638.269033802
-0.3975055884889401,645.149465377
-0.2023027085986672,989.326879376
-0.007099828708394245,1028.83008024
0.1881030511818787,886.778283445
0.3833059310721517,832.857572206
0.5785088109624246,619.352378454
0.7737116908526975,566.612483727
0.9689145707429704,549.205854227
-0.9825748829798032,321.606704911
-0.7877120569488685,323.550944908
-0.5928492309179344,634.282691368
-0.3979864048869999,817.325406989
-0.20312357885606552,1079.67442235
-0.008260752825131074,1203.62212825
0.18660207320580333,1105.3950526
0.3814648992367378,859.030030613
0.5763277252676723,899.709402425
0.7711905512986067,743.018949745
0.9660533773295412,429.474617201
-0.9819496282328803,513.712820993
-0.7874372455850094,668.131020096
-0.5929248629371391,703.15317274
-0.3984124802892682,842.953431298
-0.2039000976413974,1079.61768532
-0.00938771499352667,1087.82104665
0.18512466765434407,1051.28215794
0.3796370503022149,909.338980157
0.5741494329500856,805.141954821
0.7686618155979563,755.276694416
0.9631741982458272,667.901418411
-0.981239371936372,557.279407279
-0.7870874412880635,520.824934731
-0.5929355106397558,684.174524563
-0.39878357999144776,940.210932211
-0.20463164934313968,1124.84435068
-0.010479718694831613,1064.39145702
0.18367221195347647,1123.55963787
0.3778241426017845,833.008368818
0.5719760732500927,227.173030425
0.7661280038984007,295.117396382
0.9602799345467088,435.2723588
-0.9804450930012272,649.397365358
-0.7866632399215889,709.434660517
-0.5928813868419516,716.116385907
-0.3990995337623138,847.663191306
-0.20531768068267608,1106.61577985
-0.011535827603038291,1138.07937959
0.18224602547659946,932.788036741
0.3760278785562372,781.529538023
0.569809731635875,726.100151992
0.7635915847155128,580.622170597
0.9573734377951504,399.59358421
-0.9795678384093688,421.875216225
-0.7861653039641388,543.143438579
-0.5927627695189094,813.942026388
-0.3993602350736796,1006.328287
-0.20595770062844984,999.498928285
-0.012555166183220137,1214.70126951
0.1808473682620096,1016.9587647
0.37424990270723935,776.852776917
0.567652437152469,629.853552148
0.7610549715976987,527.76863776
0.9544575060429286,451.232266749
-0.9786087200223058,496.671401292
-0.7855943600464748,411.354572014
-0.5925800000706444,668.13645723
