Time,DHI
0.0,78.9344211902
30.0,2.82635310694
60.0,0.275775356491
90.0,2.45000992427
120.0,0.66131136195
150.0,0.2322419165
180.0,0.142811996017
210.0,0.411672976825
240.0,64.6236795511
270.0,1.49433674903
300.0,0.0853276323399
330.0,0.225297388993
360.0,0.00538746501431
390.0,0.429764131193
420.0,3.04152890612
450.0,442.977285913
480.0,461.999997184
510.0,462.0
540.0,461.999999999
570.0,461.999999999
600.0,462.0
630.0,462.0
660.0,461.999999995
690.0,462.0
720.0,462.0
750.0,462.0
780.0,462.0
810.0,462.0
840.0,462.0
870.0,461.999999864
900.0,461.999999406
930.0,461.995406655
960.0,462.0
990.0,461.996986281
1020.0,461.999999712
1050.0,461.999999996
1080.0,461.987114141
1110.0,461.962286805
1140.0,460.661091402
1170.0,461.999999575
1200.0,461.998326393
1230.0,461.999986866
1260.0,461.965830322
1290.0,456.110920834
1320.0,89.2673333228
1350.0,3.26814219834
1380.0,0.387920588541
1410.0,0.222331212601
1440.0,0.149470853829
1470.0,3.37461939594
1500.0,282.383992882
1530.0,319.206638997
1560.0,131.480173451
1590.0,0.223821660257
1620.0,0.357775085158
1650.0,1.56974806821e-08
1680.0,2.44335064398e-08
1710.0,5.16239372509e-13
1740.0,0.018073163734
1770.0,0.106060336705
1800.0,0.0016521919978
1830.0,0.000287015034691
1860.0,1.83288660614e-06
1890.0,2.23337332768e-08
1920.0,0.00235629047938
1950.0,42.8600474607
1980.0,0.309789907294
2010.0,0.0219986616248
2040.0,0.0486802846593
2070.0,0.285677047858
2100.0,0.00168258030868
2130.0,5.75269299458e-14
2160.0,4.27912279707e-10
2190.0,7.26443258985e-08
2220.0,4.05435243825e-09
2250.0,6.05982695232e-11
2280.0,0.00211460669148
2310.0,0.406129190406
2340.0,0.770914806323
2370.0,1.63472230103
2400.0,0.178054396858
2430.0,0.572868198408
2460.0,1.37605476863
2490.0,2.95938734886
2520.0,104.765568048
2550.0,244.392833875
2580.0,165.810952989
2610.0,2.40824718281
2640.0,1.88747607649
2670.0,0.0245504458707
2700.0,0.000234769203638
2730.0,0.000656969217851
2760.0,0.0855564128049
2790.0,0.151456607567
2820.0,0.0327641121211
2850.0,2.56915417865
2880.0,2.03797364912
2910.0,0.902441130772
2940.0,1.96363940192
2970.0,49.0022885356
3000.0,241.917947316
3030.0,349.897831557
3060.0,273.269664118
3090.0,2.50103731307
3120.0,1.86578662243
3150.0,219.260077381
3180.0,178.788390285
3210.0,456.054057817
3240.0,460.539665576
3270.0,461.999984662
3300.0,455.436801563
3330.0,48.4308405375
3360.0,1.72330340734
3390.0,399.12420475
3420.0,292.854874989
3450.0,433.504649565
3480.0,419.055848864
3510.0,96.4129111578
3540.0,2.52114958897
3570.0,88.8185940241
3600.0,3.20111144597
3630.0,106.001781712
3660.0,144.265412983
3690.0,265.595167916
3720.0,319.834755075
3750.0,41.6888287729
3780.0,268.418207392
3810.0,2.57110304362
3840.0,2.37656055996
3870.0,0.512203191241
3900.0,0.00673331183506
3930.0,0.147575069052
3960.0,0.259569331929
